vehicle_type,edge_from,edge_to,observed_count
bus,10143282735,2492766000,1.0
bus,10160788286,1523899606,1.0
bus,10293199569,10293199566,0.5
bus,10293199569,1449239318,1.5
bus,10689864529,12143930233,1.0
bus,10855460010,10855460017,0.0
bus,1112039283,1448261053,1.5
bus,11245117419,13324864160,1.0
bus,12099657777,9210167479,0.5
bus,12214526358,8212253860,0.0
bus,12328602709,2492766000,0.0
bus,1420845476,1846250241,1.0
bus,1420845476,2992379493,0.5
bus,1420845489,1448234534,1.5
bus,1420845489,1516025646,0.5
bus,1432319785,1888045626,0.5
bus,1448261053,1942292058,1.0
bus,1448263566,1942292074,1.5
bus,1449241391,1888279429,0.0
bus,1449241533,1867311193,0.0
bus,1449241548,1449241533,0.5
bus,1449241548,1867326933,1.0
bus,1514820618,594810504,0.0
bus,1515997023,1515996978,1.0
bus,1516025594,594810758,0.0
bus,1516025641,1448234534,1.0
bus,1518007286,1514820631,0.5
bus,1522474782,1811547083,1.0
bus,1523899606,10160788282,0.0
bus,1684887332,1938088901,3.0
bus,1791209584,1793358263,1.5
bus,1791209584,1846784930,0.5
bus,1811547083,1522474782,0.0
bus,1816987769,1816987772,1.0
bus,1832026502,1832026443,3.0
bus,1832146663,1942810207,2.0
bus,1844682741,1844682733,0.5
bus,1844682741,2392981216,0.5
bus,1844682767,1791209551,1.5
bus,1846242592,1846242567,1.0
bus,1846250221,2392981213,0.0
bus,1846250221,5299061597,0.5
bus,1888045626,1112039279,0.0
bus,1888279429,1540314462,1.0
bus,1888279429,3355823914,0.0
bus,1936845009,518264005,1.0
bus,1936863901,1449241550,1.0
bus,1936887997,6852411673,1.5
bus,1936910344,4064678350,0.0
bus,1939558938,4835445199,0.5
bus,1941289233,7213836956,7.0
bus,1941289254,6735356641,0.0
bus,1941536948,12040037094,1.5
bus,1942291748,518463863,0.0
bus,1942291904,1867311196,0.5
bus,1942291927,1867311196,0.5
bus,1942291995,594811248,2.0
bus,1942292055,1448260320,0.5
bus,1942292055,1942292051,0.5
bus,1942292074,1942292058,1.0
bus,1942400763,5104353668,1.0
bus,1942467236,5108134366,1.0
bus,1942584678,2169024001,0.5
bus,1944086454,1686120959,2.5
bus,1944086454,9024344350,0.5
bus,1944086459,1944086454,0.0
bus,1948626118,2026614833,0.5
bus,1948626118,5425504237,1.0
bus,2026614923,594810991,0.0
bus,2027471525,518455371,0.0
bus,2027471666,1791209584,1.5
bus,2027517119,5455610066,1.5
bus,2157626049,1791209584,0.5
bus,2169023988,2169023991,3.0
bus,2169023991,2169023988,3.0
bus,247812506,3005526082,1.5
bus,247812555,247812556,0.0
bus,247812556,247812555,0.0
bus,247812556,3120748687,4.5
bus,2492766000,2168718339,1.0
bus,2517670278,594811098,0.0
bus,2555569506,2629540340,0.5
bus,2555569529,9038173103,1.5
bus,2628726614,2628726630,1.5
bus,2628726614,5057120321,0.0
bus,2792179856,1936863901,2.0
bus,2840210327,3118584064,0.5
bus,2879195259,6533196277,0.0
bus,2943809934,11245117419,0.5
bus,2992379493,1420845489,1.0
