vehicle_type,edge_from,edge_to,observed_count,variance,n_member_gates,member_gate_indices,member_gates,n_time_periods
bus,10143282735,2492766000,1.0,2.0,2,72|73,cam_c11:gate_1|cam_c11:gate_2,2
bus,10160788286,1523899606,1.0,1.0,1,56,cam_c8:gate_1,2
bus,10293199569,10293199566,0.5,2.0,2,131|132,cam_f7:gate_3|cam_f7:gate_4,2
bus,10293199569,1449239318,1.5,2.0,2,129|130,cam_f7:gate_1|cam_f7:gate_2,2
bus,10689864529,12143930233,1.0,1.0,1,294,cam_n1:gate_1,2
bus,10855460010,10855460017,0.0,1.0,1,323,cam_o7:gate_1,2
bus,1112039283,1448261053,1.5,4.5,4,260|261|266|267,cam_m3:gate_3|cam_m3:gate_4|cam_m6:gate_1|cam_m6:gate_2,2
bus,11245117419,13324864160,1.0,2.0,2,343|348,cam_q1:gate_1|cam_q4:gate_1,2
bus,12099657777,9210167479,0.5,1.0,1,291,cam_m16:gate_1,2
bus,12214526358,8212253860,0.0,1.0,1,292,cam_m17:gate_1,2
bus,12328602709,2492766000,0.0,1.0,1,77,cam_c11:gate_6,2
bus,1420845476,1846250241,1.0,1.0,1,254,cam_m1:gate_2,2
bus,1420845476,2992379493,0.5,2.0,2,253|255,cam_m1:gate_1|cam_m1:gate_3,2
bus,1420845489,1448234534,1.5,1.5,1,107,cam_e5:gate_2,2
bus,1420845489,1516025646,0.5,1.0,1,109,cam_e6:gate_2,2
bus,1432319785,1888045626,0.5,1.0,1,239,cam_k1:gate_1,2
bus,1448261053,1942292058,1.0,1.0,1,268,cam_m6:gate_3,2
bus,1448263566,1942292074,1.5,1.5,1,38,cam_c2:gate_1,2
bus,1449241391,1888279429,0.0,2.0,2,30|31,cam_b1:gate_6|cam_b1:gate_7,2
bus,1449241533,1867311193,0.0,1.0,1,87,cam_d3:gate_3,2
bus,1449241548,1449241533,0.5,2.0,2,85|86,cam_d3:gate_1|cam_d3:gate_2,2
bus,1449241548,1867326933,1.0,2.0,2,125|126,cam_f5:gate_3|cam_f5:gate_4,2
bus,1514820618,594810504,0.0,3.0,3,310|311|312,cam_o5:gate_1|cam_o5:gate_2|cam_o5:gate_3,2
bus,1515997023,1515996978,1.0,1.0,1,228,cam_i11:gate_2,2
bus,1516025594,594810758,0.0,1.0,1,278,cam_m11:gate_3,2
bus,1516025641,1448234534,1.0,1.0,1,106,cam_e5:gate_1,2
bus,1518007286,1514820631,0.5,2.0,2,232|233,cam_j2:gate_1|cam_j2:gate_2,2
bus,1522474782,1811547083,1.0,1.0,1,12,cam_a3:gate_2,2
bus,1523899606,10160788282,0.0,1.0,1,57,cam_c8:gate_2,2
bus,1684887332,1938088901,3.0,3.0,2,127|128,cam_f6:gate_1|cam_f6:gate_2,2
bus,1791209584,1793358263,1.5,5.5,5,159|199|200|201|202,cam_f15:gate_3|cam_g2:gate_3|cam_g2:gate_4|cam_g2:gate_5|cam_g2:gate_6,2
bus,1791209584,1846784930,0.5,2.0,2,158|203,cam_f15:gate_2|cam_g2:gate_7,2
bus,1811547083,1522474782,0.0,1.0,1,11,cam_a3:gate_1,2
bus,1816987769,1816987772,1.0,2.0,2,92|93,cam_e1:gate_1|cam_e1:gate_2,2
bus,1832026502,1832026443,3.0,3.5,3,117|118|119,cam_f3:gate_1|cam_f3:gate_2|cam_f3:gate_3,2
bus,1832146663,1942810207,2.0,3.5,3,120|121|122,cam_f4:gate_1|cam_f4:gate_2|cam_f4:gate_3,2
bus,1844682741,1844682733,0.5,2.0,2,205|206,cam_g4:gate_1|cam_g4:gate_2,2
bus,1844682741,2392981216,0.5,2.0,2,207|208,cam_g4:gate_3|cam_g4:gate_4,2
bus,1844682767,1791209551,1.5,2.0,2,154|155,cam_f13:gate_1|cam_f13:gate_2,2
bus,1846242592,1846242567,1.0,1.0,1,204,cam_g3:gate_1,2
bus,1846250221,2392981213,0.0,1.0,1,209,cam_g5:gate_1,2
bus,1846250221,5299061597,0.5,2.0,2,210|211,cam_g5:gate_2|cam_g5:gate_3,2
bus,1888045626,1112039279,0.0,1.0,1,240,cam_k1:gate_2,2
bus,1888279429,1540314462,1.0,3.0,3,25|26|27,cam_b1:gate_1|cam_b1:gate_2|cam_b1:gate_3,2
bus,1888279429,3355823914,0.0,2.0,2,28|29,cam_b1:gate_4|cam_b1:gate_5,2
bus,1936845009,518264005,1.0,3.0,3,9|13|14,cam_a2:gate_2|cam_a4:gate_1|cam_a4:gate_2,2
bus,1936863901,1449241550,1.0,1.0,1,336,cam_p3:gate_2,2
bus,1936887997,6852411673,1.5,2.0,2,32|34,cam_b2:gate_1|cam_b2:gate_3,2
bus,1936910344,4064678350,0.0,1.0,1,263,cam_m4:gate_2,2
bus,1939558938,4835445199,0.5,2.0,2,329|332,cam_p1:gate_3|cam_p2:gate_2,2
bus,1941289233,7213836956,7.0,9.0,6,182|183|184|185|186|187,cam_f21:gate_1|cam_f21:gate_2|cam_f21:gate_3|cam_f21:gate_4|cam_f21:gate_5|cam_f21:gate_6,2
bus,1941289254,6735356641,0.0,1.0,1,135,cam_f9:gate_1,2
bus,1941536948,12040037094,1.5,3.5,3,344|345|346,cam_q2:gate_1|cam_q2:gate_2|cam_q2:gate_3,2
bus,1942291748,518463863,0.0,1.0,1,101,cam_e3:gate_4,2
bus,1942291904,1867311196,0.5,1.0,1,82,cam_d2:gate_1,2
bus,1942291927,1867311196,0.5,2.0,2,83|84,cam_d2:gate_2|cam_d2:gate_3,2
bus,1942291995,594811248,2.0,4.5,4,349|350|351|352,cam_r1:gate_1|cam_r1:gate_2|cam_r1:gate_3|cam_r1:gate_4,2
bus,1942292055,1448260320,0.5,2.0,2,78|79,cam_d1:gate_1|cam_d1:gate_2,2
bus,1942292055,1942292051,0.5,2.0,2,80|81,cam_d1:gate_3|cam_d1:gate_4,2
bus,1942292074,1942292058,1.0,1.0,1,39,cam_c2:gate_2,2
bus,1942400763,5104353668,1.0,4.0,4,94|95|96|97,cam_e2:gate_1|cam_e2:gate_2|cam_e2:gate_3|cam_e2:gate_4,2
bus,1942467236,5108134366,1.0,2.0,2,89|91,cam_d4:gate_2|cam_d4:gate_4,2
bus,1942584678,2169024001,0.5,1.0,1,116,cam_f2:gate_1,2
bus,1944086454,1686120959,2.5,3.5,3,111|113|115,cam_f1:gate_2|cam_f1:gate_4|cam_f1:gate_6,2
bus,1944086454,9024344350,0.5,2.0,2,110|112,cam_f1:gate_1|cam_f1:gate_3,2
bus,1944086459,1944086454,0.0,1.0,1,114,cam_f1:gate_5,2
bus,1948626118,2026614833,0.5,3.0,3,241|242|243,cam_l1:gate_1|cam_l1:gate_2|cam_l1:gate_3,2
bus,1948626118,5425504237,1.0,2.0,2,245|246,cam_l1:gate_5|cam_l1:gate_6,2
bus,2026614923,594810991,0.0,2.0,2,235|236,cam_j3:gate_1|cam_j3:gate_2,2
bus,2027471525,518455371,0.0,1.0,1,147,cam_f11:gate_1,2
bus,2027471666,1791209584,1.5,1.5,1,157,cam_f15:gate_1,2
bus,2027517119,5455610066,1.5,3.5,3,170|171|172,cam_f18:gate_5|cam_f18:gate_6|cam_f18:gate_7,2
bus,2157626049,1791209584,0.5,2.0,2,197|198,cam_g2:gate_1|cam_g2:gate_2,2
bus,2169023988,2169023991,3.0,3.0,1,164,cam_f17:gate_1,2
bus,2169023991,2169023988,3.0,3.0,1,165,cam_f17:gate_2,2
bus,247812506,3005526082,1.5,1.5,1,181,cam_f20:gate_2,2
bus,247812555,247812556,0.0,2.0,2,141|142,cam_f10:gate_1|cam_f10:gate_2,2
bus,247812556,247812555,0.0,1.0,1,145,cam_f10:gate_5,2
bus,247812556,3120748687,4.5,6.5,3,134|143|144,cam_f10:gate_3|cam_f10:gate_4|cam_f8:gate_2,2
bus,2492766000,2168718339,1.0,3.0,3,74|75|76,cam_c11:gate_3|cam_c11:gate_4|cam_c11:gate_5,2
bus,2517670278,594811098,0.0,2.0,2,214|215,cam_h1:gate_1|cam_h1:gate_2,2
bus,2555569506,2629540340,0.5,1.0,1,191,cam_f24:gate_1,2
bus,2555569529,9038173103,1.5,1.5,1,188,cam_f22:gate_1,2
bus,2628726614,2628726630,1.5,5.0,5,20|21|22|23|24,cam_a5:gate_4|cam_a5:gate_5|cam_a5:gate_6|cam_a5:gate_7|cam_a5:gate_8,2
bus,2628726614,5057120321,0.0,3.0,3,17|18|19,cam_a5:gate_1|cam_a5:gate_2|cam_a5:gate_3,2
