vehicle_type,edge_from,edge_to,observed_count
car,10143282735,2492766000,1512.5
car,10160788286,1523899606,529.5
car,10293199569,10293199566,602.0
car,10293199569,1449239318,1342.5
car,10689864529,12143930233,1192.0
car,10855460010,10855460017,0.0
car,1112039283,1448261053,6716.5
car,11245117419,13324864160,2714.0
car,12099657777,9210167479,2432.0
car,12214526358,8212253860,3306.0
car,12328602709,2492766000,40.0
car,1420845476,1846250241,1209.0
car,1420845476,2992379493,3724.0
car,1420845489,1448234534,440.5
car,1420845489,1516025646,1361.0
car,1432319785,1888045626,4086.5
car,1448261053,1942292058,2767.0
car,1448263566,1942292074,2043.5
car,1449241391,1888279429,194.5
car,1449241533,1867311193,3318.5
car,1449241548,1449241533,2581.5
car,1449241548,1867326933,5452.5
car,1514820618,594810504,1227.0
car,1515997023,1515996978,1812.0
car,1516025594,594810758,344.5
car,1516025641,1448234534,3130.5
car,1518007286,1514820631,3452.5
car,1522474782,1811547083,238.0
car,1523899606,10160788282,81.0
car,1684887332,1938088901,5472.5
car,1791209584,1793358263,6520.0
car,1791209584,1846784930,1004.5
car,1811547083,1522474782,170.5
car,1816987769,1816987772,4295.0
car,1832026502,1832026443,2933.0
car,1832146663,1942810207,2366.0
car,1844682741,1844682733,283.0
car,1844682741,2392981216,659.5
car,1844682767,1791209551,7217.0
car,1846242592,1846242567,557.5
car,1846250221,2392981213,3056.0
car,1846250221,5299061597,3129.0
car,1888045626,1112039279,2183.5
car,1888279429,1540314462,2012.5
car,1888279429,3355823914,2015.0
car,1936845009,518264005,2921.5
car,1936863901,1449241550,1654.5
car,1936887997,6852411673,5440.0
car,1936910344,4064678350,1621.0
car,1939558938,4835445199,2608.5
car,1941289233,7213836956,432.5
car,1941289254,6735356641,2553.0
car,1941536948,12040037094,541.0
car,1942291748,518463863,0.0
car,1942291904,1867311196,3907.0
car,1942291927,1867311196,2021.5
car,1942291995,594811248,5500.0
car,1942292055,1448260320,2061.0
car,1942292055,1942292051,1418.0
car,1942292074,1942292058,2777.0
car,1942400763,5104353668,2898.5
car,1942467236,5108134366,1395.5
car,1942584678,2169024001,7564.5
car,1944086454,1686120959,1095.0
car,1944086454,9024344350,272.0
car,1944086459,1944086454,9.5
car,1948626118,2026614833,3216.5
car,1948626118,5425504237,3049.5
car,2026614923,594810991,747.5
car,2027471525,518455371,1336.5
car,2027471666,1791209584,1514.5
car,2027517119,5455610066,208.0
car,2157626049,1791209584,722.5
car,2169023988,2169023991,1581.5
car,2169023991,2169023988,1871.0
car,247812506,3005526082,2752.0
car,247812555,247812556,592.0
car,247812556,247812555,14.0
car,247812556,3120748687,2670.5
car,2492766000,2168718339,816.5
car,2517670278,594811098,336.0
car,2555569506,2629540340,2406.5
car,2555569529,9038173103,1567.0
car,2628726614,2628726630,3334.0
car,2628726614,5057120321,2239.0
car,2792179856,1936863901,6076.5
car,2840210327,3118584064,2052.0
car,2879195259,6533196277,1635.5
car,2943809934,11245117419,2043.5
car,2992379493,1420845489,1159.0
car,3005526057,5455610066,7.0
car,3016309075,2027471666,2623.0
car,3100109929,1515996978,2723.5
car,3109980755,4835445199,1587.5
car,3118584064,2840210327,1551.5
car,3120748687,3005526082,3977.5
car,3296513997,3296513987,1858.0
car,3296513997,594811016,1543.0
car,3355823817,518263501,0.0
car,3355824096,3355824094,3850.5
car,3376575517,1523899606,856.0
car,3923359389,5425504234,4143.0
car,4051774595,518463863,243.5
car,4056761696,594810580,2662.5
car,4064678348,4064678350,2636.5
car,4075136674,1112039283,498.0
car,4835445199,2185571653,1065.5
car,4835465664,3923359389,3646.5
car,4835579428,1112039402,4636.0
car,4835601260,12212445468,4878.0
car,4837150620,594811098,117.0
car,5107928522,4680466149,3866.0
car,5108134366,1867311223,2558.5
car,5113848563,518263501,0.0
car,5117524805,1449241548,4050.0
car,5173211471,5953028842,3064.5
car,518263501,1846185769,0.0
car,518263546,518263788,8034.0
car,518263788,4835579428,13272.5
car,518264005,1936845018,626.0
car,518264005,1942810209,2572.5
car,518455371,1846784987,2709.0
car,518455371,7026425344,1048.5
car,518463863,2917006396,344.0
car,518464523,1420845479,4236.5
car,5295497027,5995805805,4593.5
car,5295497334,4835553708,8096.0
car,5295497610,12533613033,3545.0
car,5455610066,3005526065,292.5
car,5548010396,10855460017,2176.0
car,5841831224,3355824096,5233.5
car,594810456,1514820631,1562.5
car,594810580,594810750,106.5
car,594810758,594810582,3831.0
car,594811144,1112039283,3304.5
car,594811144,1515748078,1461.0
car,594811262,1942291960,1584.0
car,5995805677,8206064923,3456.0
car,5995805881,5995805677,1606.5
car,6026198745,5299061043,182.5
car,6026198761,6026198745,6.0
car,6240071024,1887964363,7793.0
car,6533196277,2879195259,383.0
car,6533234861,594810758,2484.5
car,6562195264,1888012638,5270.0
car,6625037060,5028054894,6615.0
car,6625037060,6073647793,1584.5
car,6658271344,1948626118,1555.5
car,6695185573,9038173103,326.0
car,6735356641,2628861504,6118.0
car,6735356641,4336638117,2910.5
car,6852411673,1936887997,2726.0
car,7002649406,594810991,457.5
car,7026425344,7026425345,2083.0
car,7195542379,2168717858,505.0
car,7874298255,1936887991,236.0
car,7874298255,4818810106,598.0
car,8086970950,8657455733,2752.5
car,8212253860,8086970950,4313.5
car,9004853901,247812556,1859.0
car,9038173107,2168717813,2397.5
car,9038173107,7195542382,1388.5
car,9060604387,1939558938,2222.0
car,9067078743,7874298255,103.5
car,9067412347,1939558938,1861.0
car,9133785911,7026425345,7677.5
car,9210167479,12099657777,1773.0
car,9769366872,1936845009,2109.0
