vehicle_type,edge_from,edge_to,observed_count
truck,10143282735,2492766000,0.5
truck,10160788286,1523899606,0.0
truck,10293199569,10293199566,0.0
truck,10293199569,1449239318,0.5
truck,10689864529,12143930233,0.0
truck,10855460010,10855460017,0.0
truck,1112039283,1448261053,0.5
truck,11245117419,13324864160,0.0
truck,12099657777,9210167479,0.5
truck,12214526358,8212253860,1.0
truck,12328602709,2492766000,0.0
truck,1420845476,1846250241,0.5
truck,1420845476,2992379493,0.0
truck,1420845489,1448234534,0.0
truck,1420845489,1516025646,0.0
truck,1432319785,1888045626,0.0
truck,1448261053,1942292058,0.0
truck,1448263566,1942292074,1.5
truck,1449241391,1888279429,0.0
truck,1449241533,1867311193,0.0
truck,1449241548,1449241533,0.0
truck,1449241548,1867326933,0.5
truck,1514820618,594810504,0.5
truck,1515997023,1515996978,0.5
truck,1516025594,594810758,0.0
truck,1516025641,1448234534,0.0
truck,1518007286,1514820631,0.0
truck,1522474782,1811547083,0.0
truck,1523899606,10160788282,0.0
truck,1684887332,1938088901,0.0
truck,1791209584,1793358263,0.5
truck,1791209584,1846784930,0.0
truck,1811547083,1522474782,0.0
truck,1816987769,1816987772,1.0
truck,1832026502,1832026443,19.0
truck,1832146663,1942810207,8.0
truck,1844682741,1844682733,0.0
truck,1844682741,2392981216,0.0
truck,1844682767,1791209551,2.0
truck,1846242592,1846242567,0.5
truck,1846250221,2392981213,1.0
truck,1846250221,5299061597,0.0
truck,1888045626,1112039279,0.0
truck,1888279429,1540314462,0.5
truck,1888279429,3355823914,0.0
truck,1936845009,518264005,0.0
truck,1936863901,1449241550,0.5
truck,1936887997,6852411673,3.5
truck,1936910344,4064678350,1.0
truck,1939558938,4835445199,1.5
truck,1941289233,7213836956,1.5
truck,1941289254,6735356641,0.0
truck,1941536948,12040037094,0.5
truck,1942291748,518463863,0.0
truck,1942291904,1867311196,0.0
truck,1942291927,1867311196,0.0
truck,1942291995,594811248,0.0
truck,1942292055,1448260320,0.0
truck,1942292055,1942292051,1.0
truck,1942292074,1942292058,1.5
truck,1942400763,5104353668,0.0
truck,1942467236,5108134366,0.0
truck,1942584678,2169024001,0.5
truck,1944086454,1686120959,0.5
truck,1944086454,9024344350,0.0
truck,1944086459,1944086454,0.0
truck,1948626118,2026614833,0.0
truck,1948626118,5425504237,0.5
truck,2026614923,594810991,0.0
truck,2027471525,518455371,0.0
truck,2027471666,1791209584,0.0
truck,2027517119,5455610066,1.0
truck,2157626049,1791209584,0.5
truck,2169023988,2169023991,1.0
truck,2169023991,2169023988,0.5
truck,247812506,3005526082,0.0
truck,247812555,247812556,0.0
truck,247812556,247812555,0.0
truck,247812556,3120748687,1.0
truck,2492766000,2168718339,1.0
truck,2517670278,594811098,0.0
truck,2555569506,2629540340,1.0
truck,2555569529,9038173103,1.5
truck,2628726614,2628726630,0.5
truck,2628726614,5057120321,0.0
truck,2792179856,1936863901,2.0
truck,2840210327,3118584064,0.0
truck,2879195259,6533196277,1.0
truck,2943809934,11245117419,0.5
truck,2992379493,1420845489,1.0
truck,3005526057,5455610066,0.0
truck,3016309075,2027471666,1.0
truck,3100109929,1515996978,0.5
truck,3109980755,4835445199,0.5
truck,3118584064,2840210327,0.0
truck,3120748687,3005526082,1.5
truck,3296513997,3296513987,0.5
truck,3296513997,594811016,0.5
truck,3355823817,518263501,0.0
truck,3355824096,3355824094,1.5
truck,3376575517,1523899606,0.0
truck,3923359389,5425504234,0.0
truck,4051774595,518463863,1.0
truck,4056761696,594810580,1.5
truck,4064678348,4064678350,0.5
truck,4075136674,1112039283,0.0
truck,4835445199,2185571653,0.0
truck,4835465664,3923359389,0.5
truck,4835579428,1112039402,1.5
truck,4835601260,12212445468,2.0
truck,4837150620,594811098,0.0
truck,5107928522,4680466149,0.0
truck,5108134366,1867311223,0.0
truck,5113848563,518263501,0.0
truck,5117524805,1449241548,0.5
truck,5173211471,5953028842,0.5
truck,518263501,1846185769,0.0
truck,518263546,518263788,1.0
truck,518263788,4835579428,3.0
truck,518264005,1936845018,0.5
truck,518264005,1942810209,1.0
truck,518455371,1846784987,0.0
truck,518455371,7026425344,0.0
truck,518463863,2917006396,0.0
truck,518464523,1420845479,3.0
truck,5295497027,5995805805,0.5
truck,5295497334,4835553708,2.5
truck,5295497610,12533613033,0.0
truck,5455610066,3005526065,1.0
truck,5548010396,10855460017,1.0
truck,5841831224,3355824096,1.5
truck,594810456,1514820631,0.5
truck,594810580,594810750,0.0
truck,594810758,594810582,0.0
truck,594811144,1112039283,0.5
truck,594811144,1515748078,0.0
truck,594811262,1942291960,0.0
truck,5995805677,8206064923,0.5
truck,5995805881,5995805677,0.0
truck,6026198745,5299061043,0.0
truck,6026198761,6026198745,0.0
truck,6240071024,1887964363,1.0
truck,6533196277,2879195259,0.0
truck,6533234861,594810758,0.0
truck,6562195264,1888012638,1.5
truck,6625037060,5028054894,2.0
truck,6625037060,6073647793,0.0
truck,6658271344,1948626118,0.0
truck,6695185573,9038173103,1.0
truck,6735356641,2628861504,1.0
truck,6735356641,4336638117,1.0
truck,6852411673,1936887997,0.0
truck,7002649406,594810991,0.0
truck,7026425344,7026425345,0.0
truck,7195542379,2168717858,0.0
truck,7874298255,1936887991,0.0
truck,7874298255,4818810106,1.5
truck,8086970950,8657455733,0.0
truck,8212253860,8086970950,0.0
truck,9004853901,247812556,1.0
truck,9038173107,2168717813,1.5
truck,9038173107,7195542382,1.5
truck,9060604387,1939558938,0.0
truck,9067078743,7874298255,0.0
truck,9067412347,1939558938,0.0
truck,9133785911,7026425345,0.5
truck,9210167479,12099657777,0.5
truck,9769366872,1936845009,0.0
