origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,0.272858,0.348814,0.262155,0.853036,0.348814,0.348814,0.250358,0.348814,0.000000,0.348814,0.000000,0.523534,0.000000,0.078018,0.000000,0.108942,0.000000,0.000000,0.000000,0.000000,0.000000,0.717094
2,0.000000,0.000000,0.348814,0.398298,0.290850,0.000000,0.000000,0.250358,0.348814,0.000000,0.348814,0.000000,0.474586,0.000000,0.056368,0.000000,0.087292,0.000000,1.170604,0.000000,0.613470,1.170604,1.190312
3,0.000000,0.000000,0.000000,0.262155,0.290968,0.000000,0.097836,0.250358,0.348814,0.172122,0.348814,0.000000,0.474586,0.821154,0.056368,0.000000,0.087292,0.000000,0.000000,0.821154,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.123613,0.000000,0.045456,0.200021,0.298477,0.121784,1.315690,0.123613,0.336045,0.000000,0.000000,0.000000,0.036954,0.000000,0.000000,0.000000,2.305945,0.000000,0.000000
5,0.000000,0.000000,1.883976,0.348814,0.000000,0.000000,0.000000,0.220230,0.318686,0.000000,0.348814,0.348814,0.561245,0.000000,0.068517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.348814,0.447266,0.348814,0.262155,0.853036,0.000000,0.348814,0.250358,0.348814,0.000000,0.348814,0.000000,0.523534,0.000000,0.078018,0.000000,0.108942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.348814,0.400694,0.348814,0.262155,0.824009,0.348814,0.000000,0.250358,0.991985,0.204229,0.348814,0.000000,0.523534,0.000000,0.079151,0.000000,0.109959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.075452,0.173904,0.136620,0.061726,0.000000,0.075452,0.075452,0.000000,0.315901,0.172122,1.228196,0.295271,0.000000,0.821154,0.056368,0.000000,0.087292,0.000000,0.000000,0.821154,2.512663,0.000000,0.000000
9,0.075452,0.128170,0.148385,0.202273,0.285769,0.075452,0.197377,0.348814,0.000000,0.172122,0.348814,0.348814,0.891876,0.000000,0.056368,0.000000,0.087292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075483,0.000000,0.000000,0.000000,0.075483,0.025916,0.292221,0.805334,0.040548,0.000000,0.071472,0.000000,0.000000,0.805334,0.000000,0.000000,0.000000
11,0.000000,0.039927,0.061265,0.262155,0.943730,0.028601,0.152167,0.301963,0.348814,0.359086,0.000000,0.348814,1.031237,1.588754,0.068517,0.000000,0.000000,0.022809,0.000000,1.588754,0.000000,0.000000,0.000000
12,0.000000,0.045320,0.102661,0.987827,0.987827,0.000000,0.000000,0.220230,0.348814,0.000000,0.348814,0.000000,1.031237,1.588754,0.068517,0.020697,0.000000,0.022809,0.000000,1.588754,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.348814,0.805215,0.000000,0.000000,0.086931,0.185387,0.000000,0.215515,0.215515,0.000000,0.000000,0.348814,0.300994,1.480228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.156740,0.229396,0.243590,0.051908,0.321418,0.124756,0.000000,0.398118,0.398118,0.000000,0.073042,0.000000,0.000000,0.000000,0.000000,0.236498,0.348814,0.382174,0.348814,0.348814,0.355441,0.348814,0.368522
15,0.000000,0.049924,0.070139,0.543255,0.543255,0.000000,0.295238,0.088864,0.294361,0.346635,0.785346,0.110662,0.000000,1.436888,0.000000,1.094895,0.590693,0.746113,0.410863,1.436888,0.262588,0.410863,0.430570
16,0.000000,0.016531,0.030724,0.000000,0.000000,0.000000,0.000000,0.158590,0.158590,0.000000,0.000000,0.000000,0.557523,0.709498,0.305850,0.000000,0.336773,0.114277,0.114277,0.114277,0.178810,0.155190,0.106287
17,0.303409,0.000000,0.376341,0.289682,0.000000,0.303409,0.000000,0.576771,0.576771,0.000000,0.000000,0.000000,0.487242,0.235569,0.235569,0.000000,0.000000,0.238634,0.238634,0.238634,0.303167,0.279546,0.230643
18,0.042572,0.042572,0.115504,0.051908,0.171004,0.042572,0.000000,0.315934,0.315934,0.000000,0.071814,0.000000,0.000000,0.348814,0.000000,0.685235,0.348814,0.000000,0.348814,0.348814,0.355151,0.649591,0.368522
19,0.139085,0.211741,0.225935,0.230687,0.303763,0.115474,0.000000,0.388836,0.388836,0.000000,0.055101,0.000000,0.000000,0.331159,0.000000,0.455752,0.331159,0.331159,0.000000,0.331159,0.355425,0.348814,0.322606
20,0.190101,0.262757,0.276950,0.085268,0.354778,0.158116,0.000000,0.431478,0.431478,0.000000,0.106402,0.000000,0.000000,0.382174,0.000000,0.000000,0.382174,0.382174,0.348814,0.000000,0.355441,0.348814,0.368522
21,0.000000,0.933781,0.000000,0.187998,0.315264,0.000000,0.000000,0.089542,0.435560,0.000000,0.079727,0.305954,0.000000,0.356513,0.000000,0.000000,0.356513,0.356513,0.374168,0.356513,0.000000,0.374168,0.348814
22,0.323354,0.000000,0.000000,0.202534,0.329800,0.323354,0.000000,0.596716,0.596716,0.000000,0.031076,0.000000,0.034253,0.331159,0.000000,0.000000,0.331159,0.348814,0.348814,0.331159,0.409177,0.000000,0.397365
23,0.000000,0.289343,0.000000,0.225701,0.352967,0.372257,0.000000,0.645619,0.645619,0.000000,0.078554,0.000000,0.000000,0.354326,0.000000,0.000000,0.354326,0.354326,0.348814,0.354326,0.348814,0.371981,0.000000
