origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,9.241886,11.924459,11.345981,10.943210,11.924459,11.924459,11.304021,11.924459,10.772648,11.924459,10.897107,10.710333,11.255159,10.922332,11.108067,11.042378,10.997915,11.255159,11.255159,8.533495,10.902847,9.838595
2,10.614652,0.000000,11.924459,2.509326,11.649091,11.203611,11.014497,11.304021,11.924459,10.853241,11.924459,10.897107,10.628745,11.189542,10.937883,11.167312,11.071113,11.018315,11.164935,11.189542,9.680675,11.164935,11.128775
3,10.614652,9.736381,0.000000,11.345981,11.650097,11.091148,11.421254,11.304021,11.924459,11.057613,11.924459,10.897107,10.628745,11.469472,10.937883,11.167312,11.071113,11.018315,11.189542,11.469472,8.953210,10.893899,9.739586
4,10.472778,9.637342,10.716078,0.000000,10.723059,10.818077,10.767268,10.727714,11.123336,10.434639,4.310455,10.723059,10.435693,10.691759,10.088398,10.549989,10.428138,10.475553,10.691759,10.691759,8.471139,9.707352,9.824209
5,11.189306,11.128011,6.729709,11.924459,0.000000,11.189306,11.189306,11.318979,11.198494,10.375452,11.924459,11.924459,10.821343,10.918624,11.019988,10.574744,10.144631,10.676086,10.918624,10.918624,8.634655,9.272811,9.274074
6,11.924459,11.424285,11.924459,11.345981,10.943210,0.000000,11.924459,11.304021,11.924459,10.772648,11.924459,10.897107,10.710333,11.255159,10.922332,11.108067,11.042378,10.997915,11.255159,11.255159,9.661776,10.902847,10.991361
7,11.924459,11.813258,11.924459,11.345981,9.089220,11.924459,0.000000,11.304021,10.913240,10.734859,11.924459,10.897107,10.710333,11.243277,10.905623,11.091408,11.026933,10.782224,11.086436,11.243277,10.672232,10.699785,10.819181
8,11.429884,11.114927,11.343173,10.914013,10.721732,11.429884,11.429884,0.000000,11.878703,11.057613,9.063738,9.846111,9.741618,11.469472,10.937883,11.167312,11.071113,11.018315,11.189542,11.469472,5.698609,10.893899,10.922814
9,11.429884,11.412930,11.237863,11.321729,11.274787,11.429884,11.705586,11.924459,0.000000,11.057613,11.924459,11.924459,9.240329,10.924816,10.937883,11.167312,11.071113,11.018315,11.189542,10.924816,10.766941,10.893899,10.922814
10,10.994755,10.617682,10.653021,10.572377,10.379526,10.994755,11.182776,10.586463,10.586463,0.000000,11.182776,10.920623,9.095408,11.173501,10.511356,10.690151,10.583978,10.581606,10.782221,11.173501,10.435946,10.484663,10.553493
11,11.349510,11.321459,11.071371,11.345981,11.964294,11.433475,11.665466,11.815432,11.924459,11.187740,0.000000,11.924459,10.330649,12.366743,11.019988,11.167312,10.144631,10.723293,11.114265,12.366743,10.780406,11.114265,10.841869
12,11.189306,10.820717,11.257342,11.920553,11.920553,11.189306,11.189306,11.318979,11.924459,10.850877,11.924459,0.000000,10.330649,12.366743,11.019988,9.896632,10.144631,10.723293,11.114265,12.366743,10.780406,11.114265,10.841869
13,10.898421,10.818648,10.558537,11.924459,11.182191,10.898421,10.898421,10.905600,10.747219,9.680483,11.019192,11.019192,0.000000,11.106958,11.924459,10.221001,8.394340,10.909987,11.106958,11.106958,10.704554,11.106958,10.777273
14,11.321859,11.328395,11.151253,10.843051,11.179425,11.292270,11.140833,11.581064,11.581064,10.259314,10.887220,10.944698,11.070413,0.000000,10.660435,11.025372,11.924459,11.650437,11.924459,11.924459,11.371819,11.924459,11.480297
15,10.528617,10.514284,10.346204,11.019657,11.019657,10.800574,11.412784,10.874844,11.396457,10.033698,8.093671,11.231737,8.810782,12.043929,0.000000,10.994778,10.337245,11.363938,11.309866,12.043929,10.858621,11.309866,11.038773
16,10.959633,10.905137,10.783186,10.548209,10.330004,10.962475,10.956853,11.162832,11.162832,10.025048,9.951628,9.951628,9.288745,10.575047,10.645230,0.000000,10.727925,10.797328,10.797328,10.797328,10.001311,10.654438,9.972409
17,11.236863,10.277460,11.105950,10.816529,10.427004,11.236863,10.655437,11.536920,11.536920,10.655437,9.905981,9.905572,8.583509,9.760950,9.760950,10.300795,0.000000,11.173077,11.173077,11.173077,10.302127,11.064432,10.300775
18,10.793587,10.793587,10.553625,10.843051,10.532409,10.793587,10.355820,11.032287,11.032287,10.355820,10.880331,10.920746,11.088222,11.924459,10.660435,10.771158,11.924459,0.000000,11.924459,11.924459,11.420593,6.059632,11.480297
19,11.252945,11.262622,11.079177,2.524161,11.086576,11.231353,10.726942,11.518890,11.518890,10.203300,10.835599,10.875578,10.943611,11.634908,10.620960,10.472647,11.634908,11.634908,0.000000,11.634908,11.374567,11.924459,11.376581
20,11.281594,11.288312,11.111480,10.689511,11.063786,11.251665,11.058199,11.540196,11.540196,10.167854,10.769341,10.788646,10.878262,11.650437,10.496326,9.489879,11.650437,11.650437,11.924459,0.000000,11.371819,11.924459,11.480297
21,9.853374,5.910152,8.500360,10.369161,8.849926,10.268389,10.529504,10.064018,11.274214,10.711148,10.559317,1.506733,10.674847,11.388274,10.352281,9.904521,11.388274,11.388274,11.358793,11.388274,0.000000,11.358793,11.924459
22,11.130683,10.094072,9.013751,9.876207,9.369560,11.130683,10.602750,11.405133,11.405133,10.602750,10.613886,10.854960,10.703558,11.634908,10.620960,9.853040,11.634908,11.924459,11.924459,11.634908,8.841572,0.000000,10.636042
23,9.517691,5.098628,9.079783,10.079816,9.459790,10.982965,10.484590,11.289567,11.289567,10.484590,10.512617,10.531250,10.588245,11.305793,10.275269,10.197943,11.305793,11.305793,11.924459,11.305793,11.924459,11.263904,0.000000
