origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,1371.554207,784.553360,661.582883,1013.735101,784.553360,784.553360,376.421388,784.553360,0.000000,784.553360,0.000000,1364.673850,207.383615,226.682208,124.082334,0.000000,138.184066,207.383615,207.383615,0.000000,74.952521,1040.410139
2,0.000000,0.000000,784.553360,355.687453,702.301479,0.000000,0.000000,376.421388,784.553360,83.375142,784.553360,0.000000,867.141004,368.916967,388.215561,285.615686,0.000000,299.717419,1119.983745,368.916967,8090.620075,1119.983745,941.543668
3,0.000000,409.398430,0.000000,661.582883,702.468096,0.000000,251.380066,376.421388,784.553360,220.381506,784.553360,0.000000,867.141004,299.658197,388.215561,285.615686,0.000000,299.717419,368.916967,299.658197,0.000000,236.485874,476.759291
4,0.000000,256.778344,0.000000,0.000000,563.884765,0.000000,94.421742,223.801302,631.933274,67.761420,887.182038,563.884765,769.442886,0.000000,0.000000,132.995601,0.000000,0.000000,0.000000,0.000000,1631.679623,778.169845,599.729768
5,0.000000,41.953753,1324.186294,784.553360,0.000000,0.000000,0.000000,213.053411,621.185383,0.000000,784.553360,784.553360,990.111481,0.000000,0.000000,122.247710,0.000000,0.000000,0.000000,0.000000,0.000000,1367.286495,1188.846419
6,784.553360,1188.831456,784.553360,661.582883,1013.735101,0.000000,784.553360,376.421388,784.553360,0.000000,784.553360,0.000000,1364.673850,207.383615,226.682208,124.082334,0.000000,138.184066,207.383615,207.383615,0.000000,74.952521,28.943538
7,784.553360,997.591983,784.553360,661.582883,963.294209,784.553360,0.000000,376.421388,6846.996932,0.000000,784.553360,0.000000,1364.673850,198.933700,218.232294,116.490875,0.000000,60.165159,129.364707,198.933700,144.389712,0.000000,0.000000
8,402.802979,807.081075,454.318300,341.255527,0.000000,402.802979,402.802979,0.000000,731.950856,220.381506,393.783491,0.000000,0.000000,299.658197,388.215561,285.615686,0.000000,299.717419,368.916967,299.658197,4854.764596,236.485874,190.476891
9,402.802979,619.280223,464.226004,565.879074,72.532660,402.802979,573.071515,784.553360,0.000000,220.381506,784.553360,784.553360,807.251096,0.000000,388.215561,285.615686,0.000000,299.717419,368.916967,0.000000,383.941972,236.485874,190.476891
10,266.811590,671.089686,349.867747,205.264138,0.000000,266.811590,648.561971,701.673724,701.673724,0.000000,648.561971,676.039665,534.828375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,19.245905,227.305185,77.016771,661.582883,1207.576440,194.569703,392.194597,576.320084,784.553360,344.356690,0.000000,784.553360,2387.809963,4002.178341,0.000000,285.615686,0.000000,568.946268,0.000000,4002.178341,0.000000,0.000000,0.000000
12,0.000000,235.581126,117.328259,1238.932690,1238.932690,0.000000,0.000000,213.053411,784.553360,24.563918,784.553360,0.000000,2387.809963,4002.178341,0.000000,0.000000,0.000000,568.946268,0.000000,4002.178341,0.000000,0.000000,0.000000
13,0.000000,165.761328,12.208706,784.553360,1323.350443,0.000000,0.000000,332.536063,740.668035,531.436841,904.036011,904.036011,0.000000,0.000000,784.553360,478.154722,1770.574396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,183.751105,30.307460,412.630250,268.556815,0.000000,0.000000,318.857299,318.857299,0.000000,190.648102,0.000000,0.000000,0.000000,252.218799,1480.007142,784.553360,826.671171,784.553360,784.553360,799.578365,784.553360,606.113283
15,0.000000,194.829720,39.775501,569.886589,569.886589,0.000000,493.925151,91.843523,489.165686,866.393613,5.248431,355.583182,0.000000,2562.387412,0.000000,871.209306,799.482592,735.030368,94.227762,2562.387412,0.000000,94.227762,0.000000
16,232.714190,457.215578,303.771934,175.962651,0.000000,205.603830,91.110569,573.862643,573.862643,169.298962,104.049010,104.049010,0.000000,2887.067734,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,189.709997,0.000000,251.133022,128.162545,0.000000,189.709997,0.000000,571.460378,571.460378,0.000000,95.489179,107.994773,1970.150659,1323.039304,1323.039304,0.000000,0.000000,798.655092,798.655092,798.655092,852.611561,735.423547,1263.167713
18,0.000000,0.000000,0.000000,412.630250,168.823965,0.000000,1853.500026,0.000000,0.000000,1853.500026,183.985617,0.000000,0.000000,784.553360,252.218799,1786.378080,784.553360,0.000000,784.553360,784.553360,798.919729,4083.612379,606.113283
19,0.000000,116.189386,0.000000,0.000000,200.995096,0.000000,0.000000,257.091772,257.091772,0.000000,121.534632,0.000000,0.000000,716.991641,184.657080,1181.371865,716.991641,716.991641,0.000000,716.991641,799.542098,784.553360,1078.706867
20,1.367528,225.868916,72.425271,454.748061,310.674626,0.000000,0.000000,360.975110,360.975110,0.000000,232.765913,0.000000,0.000000,826.671171,294.336610,0.000000,826.671171,826.671171,784.553360,0.000000,799.578365,784.553360,606.113283
21,0.000000,45.088048,0.000000,658.141600,0.000000,0.000000,0.000000,250.009628,170.080544,0.000000,15.779427,1209.242536,0.000000,615.185978,82.851417,0.000000,615.185978,615.185978,682.747697,615.185978,0.000000,682.747697,784.553360
22,391.488566,0.000000,0.000000,1264.027651,433.276860,391.488566,0.000000,773.238947,773.238947,0.000000,0.000000,0.000000,345.068531,716.991641,184.657080,762.918264,716.991641,784.553360,784.553360,716.991641,941.531005,0.000000,760.959808
23,0.000000,2538.174627,0.000000,896.545633,65.794841,0.000000,0.000000,245.494781,245.494781,0.000000,0.000000,0.000000,0.000000,349.509622,0.000000,0.000000,349.509622,349.509622,784.553360,349.509622,784.553360,417.071341,0.000000
