origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,948.828412,235.569806,136.040889,537.504075,235.569806,235.569806,0.000000,235.569806,0.000000,235.569806,0.000000,882.391181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,608.972644
2,0.000000,0.000000,235.569806,329.614853,163.679405,0.000000,0.000000,0.000000,235.569806,0.000000,235.569806,0.000000,386.297062,0.000000,0.000000,0.000000,0.000000,0.000000,647.151960,0.000000,7710.232851,647.151960,471.757161
3,0.000000,0.000000,0.000000,136.040889,163.803684,0.000000,0.000000,0.000000,235.569806,0.000000,235.569806,0.000000,386.297062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.160081
4,0.000000,0.000000,0.000000,0.000000,63.216922,0.000000,0.000000,0.000000,119.165706,0.000000,840.989223,63.216922,291.720716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1463.565870,319.985208,135.899045
5,0.000000,0.000000,1231.735613,235.569806,0.000000,0.000000,0.000000,0.000000,105.411988,0.000000,235.569806,235.569806,504.489638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,926.296210,748.365259
6,235.569806,668.507358,235.569806,136.040889,537.504075,0.000000,235.569806,0.000000,235.569806,0.000000,235.569806,0.000000,882.391181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,235.569806,456.414568,235.569806,136.040889,578.719064,235.569806,0.000000,0.000000,6378.773946,0.000000,235.569806,0.000000,882.391181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,288.528818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.579454,0.000000,72.510081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4717.171132,0.000000,0.000000
9,0.000000,84.244617,0.000000,38.633980,0.000000,0.000000,27.314930,235.569806,0.000000,0.000000,235.569806,235.569806,431.934454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,167.858623,0.000000,0.000000,0.000000,0.000000,121.912080,200.159458,200.159458,0.000000,121.912080,159.636518,118.129685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,136.040889,686.851196,0.000000,0.000000,30.297450,235.569806,0.000000,0.000000,235.569806,1952.312457,3494.916633,0.000000,0.000000,0.000000,66.536180,0.000000,3494.916633,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,722.689127,722.689127,0.000000,0.000000,0.000000,235.569806,0.000000,235.569806,0.000000,1952.312457,3494.916633,0.000000,0.000000,0.000000,66.536180,0.000000,3494.916633,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,235.569806,832.704709,0.000000,0.000000,0.000000,239.908247,73.687381,391.672641,391.672641,0.000000,0.000000,235.569806,8.599551,1577.549014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,968.887378,235.569806,292.353720,235.569806,235.569806,278.514712,235.569806,79.194198
15,0.000000,0.000000,0.000000,74.095260,74.095260,0.000000,0.000000,0.000000,0.000000,409.106762,0.000000,0.000000,0.000000,2062.713270,0.000000,403.324593,344.648912,235.692540,0.000000,2062.713270,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.540193,52.540193,0.000000,0.000000,0.000000,0.000000,2420.970621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.481480,52.481480,0.000000,0.000000,0.000000,1586.351502,870.924704,870.924704,0.000000,0.000000,280.167634,280.167634,280.167634,378.836549,224.046391,786.343661
18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1369.092632,0.000000,0.000000,1369.092632,0.000000,0.000000,0.000000,235.569806,0.000000,1311.724634,235.569806,0.000000,235.569806,235.569806,275.403564,3836.645481,79.194198
19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,180.937724,0.000000,707.663391,180.937724,180.937724,0.000000,180.937724,278.340236,235.569806,554.880076
20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,292.353720,0.000000,0.000000,292.353720,292.353720,235.569806,0.000000,278.514712,235.569806,79.194198
21,0.000000,0.000000,0.000000,175.994608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1163.177133,0.000000,92.166897,0.000000,0.000000,92.166897,92.166897,162.010148,92.166897,0.000000,162.010148,235.569806
22,0.000000,0.000000,0.000000,805.867807,7.170649,0.000000,0.000000,262.086657,262.086657,0.000000,0.000000,0.000000,0.000000,180.937724,0.000000,297.573745,180.937724,235.569806,235.569806,180.937724,542.733779,0.000000,275.709820
23,0.000000,2333.691369,0.000000,430.192891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,235.569806,0.000000,235.569806,0.000000,0.000000
