origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,1794.280002,1333.536914,1187.124877,1489.966127,1333.536914,1333.536914,900.475656,1333.536914,510.490705,1333.536914,515.961529,1846.956520,740.981970,740.587032,650.790363,517.991214,659.645610,740.981970,740.981970,400.810832,591.903540,1471.847634
2,501.941694,0.000000,1333.536914,381.760052,1240.923554,531.071231,522.198306,900.475656,1333.536914,597.724716,1333.536914,515.961529,1347.984946,899.061799,903.675615,815.179631,520.453642,822.177523,1592.815529,899.061799,8471.007300,1592.815529,1411.330176
3,501.941694,870.156810,0.000000,1187.124877,1241.132508,525.357724,788.325199,900.475656,1333.536914,736.428250,1333.536914,515.961529,1347.984946,797.054570,903.675615,815.179631,520.453642,822.177523,899.061799,797.054570,414.755416,753.032605,937.358502
4,495.712693,713.176787,507.585931,0.000000,1064.552608,512.573067,602.356610,722.483596,1144.700842,556.229367,933.374853,1064.552608,1247.165056,506.213719,475.734942,632.786840,491.955178,495.994378,506.213719,506.213719,1799.793376,1236.354481,1063.560492
5,530.630500,569.637839,1416.636974,1333.536914,0.000000,530.630500,530.630500,739.324512,1136.958778,491.672414,1333.536914,1333.536914,1475.733323,517.145649,518.070221,623.555386,476.069754,505.599699,517.145649,517.145649,406.343680,1808.276780,1629.327578
6,1333.536914,1709.155553,1333.536914,1187.124877,1489.966127,0.000000,1333.536914,900.475656,1333.536914,510.490705,1333.536914,515.961529,1846.956520,740.981970,740.587032,650.790363,517.991214,659.645610,740.981970,740.981970,449.798243,591.903540,550.119133
7,1333.536914,1538.769398,1333.536914,1187.124877,1347.869353,1333.536914,0.000000,900.475656,7315.219918,498.994976,1333.536914,515.961529,1846.956520,731.978396,731.293395,642.399537,517.199252,571.275559,655.023078,731.978396,649.405319,507.203452,513.038746
8,941.200411,1325.633331,985.686512,855.772481,507.353562,941.200411,941.200411,0.000000,1280.322257,736.428250,715.056901,435.931187,456.012181,797.054570,903.675615,815.179631,520.453642,822.177523,899.061799,797.054570,4992.358061,753.032605,708.125613
9,941.200411,1154.315829,990.032511,1093.124167,592.552404,941.200411,1118.828100,1333.536914,0.000000,736.428250,1333.536914,1333.536914,1182.567737,508.331088,903.675615,815.179631,520.453642,822.177523,899.061799,508.331088,893.058105,753.032605,708.125613
10,788.126667,1174.320748,854.880515,706.511601,491.219760,788.126667,1175.211861,1203.187991,1203.187991,0.000000,1175.211861,1192.442812,951.527064,484.996059,495.521980,506.667358,497.751587,501.495510,510.320602,484.996059,493.104248,496.884612,499.673577
11,557.473915,762.264279,599.123140,1187.124877,1728.301683,735.404787,938.208856,1122.342718,1333.536914,857.285662,0.000000,1333.536914,2823.307469,4509.440049,518.070221,815.179631,476.069754,1071.356356,526.166694,4509.440049,509.644299,526.166694,513.276903
12,530.630500,746.371283,646.316278,1755.176253,1755.176253,530.630500,530.630500,739.324512,1333.536914,538.849597,1333.536914,0.000000,2823.307469,4509.440049,518.070221,466.478988,476.069754,1071.356356,526.166694,4509.440049,509.644299,526.166694,513.276903
13,516.863474,678.795110,512.924085,1333.536914,1813.996176,516.863474,516.863474,845.553521,1241.427822,989.186300,1416.399381,1416.399381,0.000000,526.261214,1333.536914,947.709894,1963.599778,516.960094,526.261214,526.261214,506.238634,526.261214,510.664892
14,529.414884,709.937368,547.495828,923.252227,782.902124,529.539886,527.646369,849.028468,849.028468,485.735742,703.066299,518.524263,523.399074,0.000000,757.088466,1991.126906,1333.536914,1360.988622,1333.536914,1333.536914,1320.642017,1333.536914,1133.032368
15,497.945064,689.688731,525.736976,1065.677919,1065.677919,511.283916,1020.440494,602.179470,1014.922727,1323.680463,38.412271,882.330806,413.009776,3062.061554,0.000000,1339.094019,1254.316272,1234.368197,609.262375,3062.061554,500.704739,609.262375,501.557014
16,752.114291,973.311493,813.300343,675.768640,488.613813,725.121365,609.084235,1095.185094,1095.185094,643.680336,572.694199,572.694199,413.692505,3353.164847,489.261041,0.000000,490.783016,506.200479,506.200479,506.200479,465.156268,497.358066,466.942341
17,707.485616,477.375253,759.330119,626.720529,493.134581,707.485616,503.494463,1090.439276,1090.439276,503.494463,562.675588,575.135583,2353.949817,1775.153904,1775.153904,485.505845,0.000000,1317.142551,1317.142551,1317.142551,1326.386572,1246.800704,1739.991765
18,509.467210,509.467210,494.526235,923.252227,659.493693,509.467210,2337.907421,507.574309,507.574309,2337.907421,696.122714,517.346131,524.911669,1333.536914,757.088466,2261.031527,1333.536914,0.000000,1333.536914,1333.536914,1322.435893,4330.579278,1133.032368
19,526.990461,640.113741,514.609474,126.296068,711.743039,527.095254,505.653479,784.752711,784.752711,483.099026,632.397138,515.239056,518.097614,1253.045558,687.704422,1655.080338,1253.045558,1253.045558,0.000000,1253.045558,1320.743960,1333.536914,1602.533658
20,527.248526,748.480701,586.118954,956.253025,817.914740,525.996750,523.879604,887.627286,887.627286,481.374288,738.012295,511.088218,514.662185,1360.988622,791.397401,432.825144,1360.988622,1360.988622,1333.536914,0.000000,1320.642017,1333.536914,1133.032368
21,466.070792,257.359142,400.966873,1140.288592,399.869004,486.487085,496.897166,722.372025,683.680725,507.473606,512.286773,1255.307938,505.393121,1138.205058,573.070392,468.426926,1138.205058,1138.205058,1203.485245,1138.205058,0.000000,1203.485245,1333.536914
22,902.675613,469.875918,426.491700,1722.187495,859.383071,902.675613,501.375222,1284.391237,1284.391237,501.375222,501.099954,514.225110,849.872039,1253.045558,687.704422,1228.262782,1253.045558,1333.536914,1333.536914,1253.045558,1340.328230,0.000000,1246.209796
23,449.810896,2742.657885,429.429015,1362.898375,494.786078,501.816594,495.533854,748.769844,748.769844,495.533854,494.373135,498.903513,500.990980,868.797131,486.686346,480.024658,868.797131,868.797131,1333.536914,868.797131,1333.536914,933.523481,0.000000
