origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,1028.956525,432.638340,516.648262,253.827756,432.638340,432.638340,414.802539,432.638340,250.589324,432.638340,0.000000,520.282797,153.373675,570.292550,243.714784,0.000000,24.038801,153.373675,153.373675,0.000000,0.000000,472.483186
2,265.247490,0.000000,432.638340,84.276987,488.830478,197.487666,163.676463,414.802539,432.638340,274.855165,432.638340,0.000000,327.281732,177.639516,594.558391,267.980625,0.000000,48.304642,617.806477,177.639516,3808.508453,617.806477,32.901650
3,265.247490,232.880943,0.000000,516.648262,488.716651,229.349158,251.088152,414.802539,432.638340,70.906768,432.638340,0.000000,327.281732,28.358785,594.558391,267.980625,0.000000,48.304642,177.639516,28.358785,0.000000,0.000000,0.000000
4,36.070116,3.703568,71.583664,0.000000,390.451524,0.171783,20.433569,185.625165,203.460966,0.000000,213.586027,390.451524,201.084994,0.000000,0.000000,38.803251,0.000000,0.000000,0.000000,0.000000,3611.158608,357.482412,0.000000
5,28.897283,18.179048,124.560534,432.638340,0.000000,28.897283,28.897283,280.023359,297.859160,140.075985,432.638340,432.638340,243.271810,0.000000,0.000000,133.201445,638.587900,0.000000,0.000000,0.000000,1372.061345,4437.260366,3852.355539
6,432.638340,412.068044,432.638340,516.648262,253.827756,0.000000,432.638340,414.802539,432.638340,250.589324,432.638340,0.000000,520.282797,153.373675,570.292550,243.714784,0.000000,24.038801,153.373675,153.373675,0.000000,0.000000,0.000000
7,432.638340,421.798605,432.638340,516.648262,138.841938,432.638340,0.000000,414.802539,4158.417693,34.920782,432.638340,0.000000,520.282797,152.104313,569.023188,242.574381,0.000000,12.318656,141.653530,152.104313,0.000000,0.000000,0.000000
8,181.512264,160.941968,185.498868,270.275515,0.000000,181.512264,181.512264,0.000000,392.180280,70.906768,132.223130,0.000000,0.000000,28.358785,594.558391,267.980625,0.000000,48.304642,177.639516,28.358785,1692.238645,0.000000,0.000000
9,181.512264,170.497567,186.265593,443.039781,35.704711,181.512264,293.519669,432.638340,0.000000,70.906768,432.638340,432.638340,371.477006,0.000000,594.558391,267.980625,0.000000,48.304642,177.639516,0.000000,0.000000,0.000000,0.000000
10,162.512081,141.941785,169.830230,251.275332,0.000000,162.512081,413.638157,419.935076,419.935076,0.000000,413.638157,416.895907,168.805371,0.000000,524.757594,198.179828,0.000000,0.000000,107.838719,0.000000,0.000000,0.000000,0.000000
11,79.086086,66.695378,82.864132,516.648262,432.242760,125.905054,241.625409,377.031130,432.638340,134.173673,0.000000,432.638340,1568.962487,927.707815,0.000000,267.980625,638.587900,0.000000,0.000000,927.707815,0.000000,0.000000,0.000000
12,28.897283,8.326987,134.133657,432.213438,432.213438,28.897283,28.897283,280.023359,432.638340,226.335690,432.638340,0.000000,1568.962487,927.707815,0.000000,0.000000,638.587900,0.000000,0.000000,927.707815,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,432.638340,281.198622,0.000000,0.000000,128.975753,146.811554,136.026922,281.590734,281.590734,0.000000,347.717050,432.638340,0.000000,96.893601,217.067060,347.717050,347.717050,70.208092,347.717050,0.000000
14,137.078545,126.235205,141.714568,774.176719,39.561321,137.348142,394.617884,388.474218,388.474218,116.451232,179.710741,42.027859,0.000000,0.000000,0.000000,873.053183,432.638340,301.988351,432.638340,432.638340,155.129383,432.638340,0.000000
15,0.000000,0.000000,0.000000,133.860509,133.860509,0.000000,275.065701,125.856590,272.485217,412.161458,0.000000,226.671204,0.000000,433.823864,0.000000,229.799167,1546.591502,1033.079290,778.386313,433.823864,316.310618,778.386313,193.481486
16,219.481002,208.637661,224.117025,308.185861,0.000000,219.811080,476.979104,471.101421,471.101421,198.853688,683.110195,683.110195,84.219516,366.904263,440.171739,0.000000,0.000000,0.000000,0.000000,0.000000,49.795207,0.000000,0.000000
17,0.000000,518.373318,0.000000,0.000000,0.000000,0.000000,37.546386,40.794262,40.794262,37.546386,241.388657,238.224314,456.418006,812.370229,812.370229,763.260347,0.000000,212.962357,212.962357,212.962357,368.839573,142.996383,307.935660
18,94.839805,94.839805,99.593134,774.176719,8.537498,94.839805,0.000000,345.965881,345.965881,0.000000,176.098478,40.408053,0.000000,432.638340,0.000000,183.638836,432.638340,0.000000,432.638340,432.638340,167.294259,1429.522476,0.000000
19,11.484851,0.641511,16.120874,2567.602153,0.000000,11.683877,274.436116,262.809953,262.809953,0.000000,53.275719,0.000000,0.000000,307.044646,0.000000,216.940675,307.044646,307.044646,0.000000,307.044646,155.799223,432.638340,349.545209
20,6.428556,0.000000,11.064579,643.526730,0.000000,6.698153,263.967894,257.824228,257.824228,0.000000,49.060752,0.000000,0.000000,301.988351,0.000000,1245.099995,301.988351,301.988351,432.638340,0.000000,155.129383,432.638340,0.000000
21,0.000000,751.905726,0.000000,0.000000,744.455065,0.000000,132.202199,0.000000,120.395909,0.000000,0.000000,526.351271,0.000000,164.810729,0.000000,409.172340,164.810729,164.810729,290.404423,164.810729,0.000000,290.404423,432.638340
22,0.000000,363.468937,0.000000,0.000000,745.041767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,648.583025,307.044646,0.000000,943.278479,307.044646,432.638340,432.638340,307.044646,466.543046,0.000000,244.564800
23,0.000000,745.721191,0.000000,0.000000,737.457029,0.000000,0.000000,0.000000,0.000000,0.000000,46.532309,0.000000,0.000000,299.459908,0.000000,445.229218,299.459908,299.459908,432.638340,299.459908,432.638340,425.053602,0.000000
