origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,715.209275,24.966613,126.345417,0.000000,24.966613,24.966613,25.580197,24.966613,0.000000,24.966613,0.000000,162.572406,0.000000,188.541133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,151.749129
2,0.000000,0.000000,24.966613,71.585732,88.836239,0.000000,0.000000,25.580197,24.966613,0.000000,24.966613,0.000000,0.000000,0.000000,211.670011,0.000000,0.000000,0.000000,266.981919,0.000000,3526.287565,266.981919,0.000000
3,0.000000,0.000000,0.000000,126.345417,88.691041,0.000000,0.000000,25.580197,24.966613,0.000000,24.966613,0.000000,0.000000,0.000000,211.670011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,18.747765,0.000000,0.000000,0.000000,0.000000,0.000000,190.425955,18.747765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3359.103085,17.452831,0.000000
5,0.000000,0.000000,93.788900,24.966613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.966613,24.966613,0.000000,0.000000,0.000000,0.000000,286.135628,0.000000,0.000000,0.000000,1068.077506,4105.689475,3522.351853
6,24.966613,25.646381,24.966613,126.345417,0.000000,0.000000,24.966613,25.580197,24.966613,0.000000,24.966613,0.000000,162.572406,0.000000,188.541133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,24.966613,19.915052,24.966613,126.345417,0.000000,24.966613,0.000000,25.580197,3858.962432,0.000000,24.966613,0.000000,162.572406,0.000000,187.897168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,211.670011,0.000000,0.000000,0.000000,0.000000,0.000000,1613.193950,0.000000,0.000000
9,0.000000,0.000000,0.000000,51.475651,0.000000,0.000000,0.000000,24.966613,0.000000,0.000000,24.966613,24.966613,138.416620,0.000000,211.670011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.448676,47.160859,47.160859,0.000000,22.448676,33.209720,0.000000,0.000000,156.623252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,126.345417,46.079651,0.000000,0.000000,0.000000,24.966613,0.000000,0.000000,24.966613,1248.220631,553.809560,0.000000,0.000000,286.135628,0.000000,0.000000,553.809560,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,49.464306,49.464306,0.000000,0.000000,0.000000,24.966613,0.000000,24.966613,0.000000,1248.220631,553.809560,0.000000,0.000000,286.135628,0.000000,0.000000,553.809560,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,24.966613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.966613,0.000000,55.617518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,395.517899,0.000000,0.000000,2.488079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,493.028675,24.966613,0.000000,24.966613,24.966613,0.000000,24.966613,0.000000
15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.786398,0.000000,0.000000,0.000000,65.223035,0.000000,0.000000,1210.316702,663.849568,396.645066,65.223035,0.000000,396.645066,0.000000
16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.254575,83.646652,83.646652,0.000000,331.966141,331.966141,0.000000,19.299064,76.247969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,155.507932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,172.121678,477.016837,477.016837,400.090534,0.000000,0.000000,0.000000,0.000000,16.960158,0.000000,0.000000
18,0.000000,0.000000,0.000000,395.517899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.966613,0.000000,0.000000,24.966613,0.000000,24.966613,24.966613,0.000000,1252.119441,0.000000
19,0.000000,0.000000,0.000000,2506.257756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.966613,0.000000
20,0.000000,0.000000,0.000000,271.823612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,909.758705,0.000000,0.000000,24.966613,0.000000,0.000000,24.966613,0.000000
21,0.000000,616.136654,0.000000,0.000000,448.406188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,497.628057,0.000000,0.000000,0.000000,60.565768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.966613
22,0.000000,7.541279,0.000000,0.000000,429.148517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,274.302418,0.000000,0.000000,597.286258,0.000000,24.966613,24.966613,0.000000,170.329643,0.000000,0.000000
23,0.000000,618.202765,0.000000,0.000000,419.412059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.333126,0.000000,0.000000,24.966613,0.000000,24.966613,41.616756,0.000000
