origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,1342.703775,840.310067,906.951107,606.988675,840.310067,840.310067,804.024881,840.310067,629.934831,840.310067,382.866029,877.993187,549.608800,952.043967,634.860081,385.019879,411.292934,549.608800,549.608800,299.083574,383.890517,793.217244
2,637.842944,0.000000,840.310067,96.968242,888.824718,591.864271,551.513547,804.024881,840.310067,657.043215,840.310067,382.866029,684.204383,571.274522,977.446770,661.246336,386.824440,436.301033,968.631036,571.274522,4090.729341,968.631036,381.217921
3,637.842944,575.037443,0.000000,906.951107,888.742260,619.423082,649.845000,804.024881,840.310067,454.251834,840.310067,382.866029,684.204383,397.532010,977.446770,661.246336,386.824440,436.301033,571.274522,397.532010,315.772645,383.589808,341.623476
4,404.126806,342.668807,448.492531,0.000000,762.155283,380.796511,397.628725,555.979226,584.231886,362.828867,236.746098,762.155283,555.587855,375.862521,352.984527,409.969853,365.601823,368.286601,375.862521,375.862521,3863.214131,697.511994,344.210359
5,422.928052,410.033616,155.332168,840.310067,0.000000,422.928052,422.928052,670.842364,680.913594,505.398131,840.310067,840.310067,603.663089,383.864713,384.332491,505.526112,991.040172,375.278842,383.864713,383.864713,1676.045183,4768.831258,4182.359226
6,840.310067,798.489707,840.310067,906.951107,606.988675,0.000000,840.310067,804.024881,840.310067,629.934831,840.310067,382.866029,877.993187,549.608800,952.043967,634.860081,385.019879,411.292934,549.608800,549.608800,336.410294,383.890517,387.013709
7,840.310067,823.682157,840.310067,906.951107,422.825115,840.310067,0.000000,804.024881,4457.872953,405.645230,840.310067,382.866029,877.993187,547.930137,950.149208,633.126119,384.433392,391.886259,532.009712,547.930137,374.950116,376.652532,380.978850
8,581.354806,546.106908,580.109825,652.394873,376.439550,581.354806,581.354806,0.000000,799.397936,454.251834,370.798301,323.667821,320.562174,397.532010,977.446770,661.246336,386.824440,436.301033,571.274522,397.532010,1771.283340,383.589808,384.379227
9,581.354806,567.866174,576.745915,834.603910,421.562805,581.354806,698.804757,840.310067,0.000000,454.251834,840.310067,840.310067,604.537392,372.942542,977.446770,661.246336,386.824440,436.301033,571.274522,372.942542,377.968260,383.589808,384.379227
10,549.726555,515.763890,544.988959,623.584432,364.575057,549.726555,804.827637,792.709293,792.709293,0.000000,804.827637,800.582093,477.974990,360.033324,892.891935,574.539717,370.138165,372.507584,486.878070,360.033324,366.192398,369.073357,371.140160
11,478.770446,463.967032,470.575996,906.951107,818.405869,527.538684,647.094101,782.505811,840.310067,515.406981,0.000000,840.310067,1889.704344,1301.606069,384.332491,661.246336,991.040172,369.297541,389.980125,1301.606069,378.042642,389.980125,380.733079
12,422.928052,387.663221,526.953166,814.962569,814.962569,422.928052,422.928052,670.842364,840.310067,608.453398,840.310067,0.000000,1889.704344,1301.606069,384.332491,345.994278,991.040172,369.297541,389.980125,1301.606069,378.042642,389.980125,380.733079
13,383.736732,380.901568,371.756022,840.310067,644.996982,383.736732,383.736732,509.879526,518.626658,475.982310,661.887965,661.887965,0.000000,738.254096,840.310067,348.620407,138.169685,600.627813,738.254096,738.254096,445.998978,738.254096,379.123475
14,530.244648,517.044156,525.804703,1152.835539,421.349662,530.601939,786.747688,782.207090,782.207090,477.266275,560.191323,426.960219,387.859566,0.000000,375.155860,1253.077690,840.310067,698.764308,840.310067,840.310067,541.917796,840.310067,391.230461
15,369.744310,367.469025,360.846174,501.868932,501.868932,379.611680,666.037996,504.768489,662.893895,751.536518,10.076960,617.742826,301.117581,802.424693,0.000000,577.068432,1882.866302,1402.309012,1160.127560,802.424693,687.858910,1160.127560,565.561243
16,605.409505,592.028254,602.740079,679.611737,362.847560,605.847402,862.703633,858.556190,858.556190,551.513963,1034.254248,1034.254248,391.004779,714.509461,804.095508,0.000000,366.371317,376.268548,376.268548,376.268548,395.549284,369.750204,347.112936
17,384.999362,881.238705,377.812150,370.654581,366.351514,384.999362,412.039602,426.617064,426.617064,412.039602,590.753299,587.574998,740.714335,1147.723621,1147.723621,1126.430160,0.000000,597.980910,597.980910,597.980910,720.718989,522.730969,662.149208
18,473.448652,473.448652,467.178848,1152.835539,372.818964,473.448652,364.579540,723.280518,723.280518,364.579540,556.370283,424.457259,389.368329,840.310067,375.155860,538.833288,840.310067,0.000000,840.310067,840.310067,555.917416,1606.925512,391.230461
19,402.854405,389.773235,398.300962,2628.946549,379.107367,403.127713,651.187369,654.689481,654.689481,358.869004,432.602679,382.492949,384.304518,705.099563,373.809865,569.587783,705.099563,705.099563,0.000000,705.099563,542.691034,840.310067,738.585603
20,397.019424,388.246736,392.590772,1015.229848,376.531980,397.363744,653.183671,648.963533,648.963533,357.629491,424.222680,379.408279,381.581810,698.764308,369.390504,1580.441285,698.764308,698.764308,840.310067,0.000000,541.917796,840.310067,391.230461
21,345.807411,887.674798,296.187942,357.810984,1040.503942,361.083264,502.086623,350.629052,501.902853,376.962701,368.696346,555.074485,374.986518,553.226226,364.298324,757.778911,553.226226,553.226226,677.139167,553.226226,0.000000,677.139167,840.310067
22,380.515667,719.396596,315.791806,339.098848,1060.935017,380.515667,372.605577,380.395103,380.395103,372.605577,372.075069,381.733157,1022.863632,705.099563,373.809865,1289.270700,705.099563,840.310067,840.310067,705.099563,762.756449,0.000000,604.944640
23,333.287485,873.239616,317.956533,345.416069,1055.502000,373.364089,368.360043,374.377986,374.377986,368.360043,413.572249,370.330192,371.440708,685.025308,361.577580,804.125309,685.025308,685.025308,840.310067,685.025308,840.310067,808.490448,0.000000
