origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,0.144194,0.214427,0.215392,3.238670,0.214427,0.214427,0.084950,0.214427,0.114690,0.214427,0.000000,0.108726,0.000000,0.168723,0.093079,0.000000,0.000000,0.000000,0.000000,0.053349,0.010734,0.081503
2,0.162531,0.000000,0.214427,0.200765,0.215072,0.077724,0.035407,0.084950,0.214427,0.076268,0.214427,0.000000,0.180912,0.000000,0.130300,0.054656,0.000000,0.000000,0.295609,0.000000,1.391220,0.295609,0.226722
3,0.162531,0.096760,0.000000,0.215392,0.215071,0.117602,0.093588,0.084950,0.214427,0.085934,0.214427,0.000000,0.180912,0.347463,0.130300,0.054656,0.000000,0.000000,0.000000,0.347463,0.000000,0.000000,0.000000
4,0.059533,0.000000,0.070543,0.000000,0.000000,0.014604,0.000000,0.000000,0.111429,0.000000,1.194759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.093859,0.072079,0.000000,0.214427,0.000000,0.093859,0.093859,0.143403,0.272879,0.134720,0.214427,0.214427,0.179947,0.042745,0.147511,0.113109,0.141490,0.000000,0.042745,0.042745,0.520552,0.692424,0.623537
6,0.214427,0.172626,0.214427,0.215392,3.238670,0.000000,0.214427,0.084950,0.214427,0.114690,0.214427,0.000000,0.108726,0.000000,0.168723,0.093079,0.000000,0.000000,0.000000,0.000000,0.100564,0.010734,0.000000
7,0.214427,0.192400,0.214427,0.215392,3.284190,0.214427,0.000000,0.084950,0.664005,0.142913,0.214427,0.000000,0.108726,0.000000,0.170733,0.094884,0.000000,0.004115,0.000000,0.000000,0.000000,0.029291,0.000000
8,0.164884,0.123083,0.181452,0.185603,1.714368,0.164884,0.164884,0.000000,0.209535,0.085934,0.326798,0.000000,0.000000,0.347463,0.130300,0.054656,0.000000,0.000000,0.000000,0.347463,0.000000,0.000000,0.000000
9,0.164884,0.142501,0.184639,0.206492,2.037461,0.164884,0.186981,0.214427,0.000000,0.085934,0.214427,0.214427,0.113529,0.000000,0.130300,0.054656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,1.422643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.422874,0.205711,0.130068,0.000000,0.022546,0.000000,0.422874,0.000000,0.047723,0.000000
11,0.117216,0.094412,0.136518,0.215392,2.857489,0.139005,0.164451,0.188548,0.214427,0.057501,0.000000,0.214427,0.469596,0.138054,0.147511,0.054656,0.141490,0.000000,0.000000,0.138054,0.000000,0.000000,0.000000
12,0.093859,0.052059,0.139004,3.053404,3.053404,0.093859,0.093859,0.143403,0.214427,0.097310,0.214427,0.000000,0.469596,0.138054,0.147511,0.000000,0.141490,0.000000,0.000000,0.138054,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.214427,2.468926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031888,0.214427,0.000000,0.087552,0.000000,0.031888,0.031888,0.000000,0.031888,0.000000
14,0.087500,0.067770,0.108500,0.132763,1.476113,0.084640,0.069005,0.134183,0.134183,0.000000,0.324614,0.000000,0.000000,0.000000,0.000000,0.358596,0.214427,0.163853,0.214427,0.214427,0.113684,0.214427,0.145540
15,0.032527,0.010144,0.052282,1.274692,1.274692,0.000000,0.123800,0.000000,0.122316,0.163919,0.054866,0.000000,0.000000,0.107683,0.000000,0.153054,0.451404,0.349398,0.292594,0.107683,0.141498,0.292594,0.223707
16,0.080127,0.060398,0.101127,0.101467,1.540586,0.076625,0.062069,0.124426,0.124426,0.000000,0.000000,0.000000,0.000000,0.526968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072525
17,0.067469,0.000000,0.087224,0.088189,0.000000,0.067469,0.000000,0.117012,0.117012,0.000000,0.000000,0.000000,0.317895,0.589365,0.589365,0.247214,0.000000,0.106905,0.106905,0.106905,0.214205,0.132082,0.391782
18,0.007847,0.007847,0.027603,0.132763,0.799287,0.007847,0.154020,0.057391,0.057391,0.154020,0.322536,0.000000,0.000000,0.214427,0.000000,0.438186,0.214427,0.000000,0.214427,0.214427,0.118100,0.026589,0.145540
19,0.049590,0.029861,0.070590,0.172571,1.438203,0.047479,0.000000,0.097022,0.097022,0.000000,0.286220,0.000000,0.000000,0.176517,0.000000,0.371370,0.176517,0.176517,0.000000,0.176517,0.113927,0.214427,0.365437
20,0.036926,0.017196,0.057926,0.082189,1.425539,0.034066,0.018431,0.083609,0.083609,0.000000,0.274040,0.000000,0.000000,0.163853,0.000000,0.171005,0.163853,0.163853,0.214427,0.000000,0.113684,0.214427,0.145540
21,0.013882,0.416164,0.000000,0.065778,0.160775,0.000000,0.000000,0.000000,0.000000,0.000000,0.183514,0.041712,0.000000,0.075042,0.000000,0.082449,0.075042,0.075042,0.112952,0.075042,0.000000,0.112952,0.214427
22,0.000000,0.000000,0.000000,0.000000,0.073392,0.000000,0.000000,0.043362,0.043362,0.000000,0.245581,0.000000,0.094853,0.176517,0.000000,0.012915,0.176517,0.214427,0.214427,0.176517,0.250764,0.000000,0.256431
23,0.000000,0.438567,0.000000,0.000000,0.083862,0.000000,0.000000,0.000000,0.000000,0.000000,0.297174,0.000000,0.000000,0.186987,0.000000,0.000000,0.186987,0.186987,0.214427,0.186987,0.214427,0.224897,0.000000
