origin_zona,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.000000,7.210648,9.290285,8.910935,11.301548,9.290285,9.290285,8.754496,9.290285,8.565338,9.290285,8.571497,8.103625,8.825611,8.670740,8.803440,8.575572,8.624546,8.825611,8.825611,6.784418,8.560839,7.256632
2,8.498428,0.000000,9.290285,2.290130,9.122787,8.864908,8.673967,8.754496,9.290285,8.589714,9.290285,8.571497,8.152221,8.775407,8.662095,8.811113,8.614630,8.640307,8.156240,8.775407,8.748616,8.156240,8.042926
3,8.498428,7.741924,0.000000,8.910935,9.123473,8.819775,8.972871,8.754496,9.290285,8.623038,9.290285,8.571497,8.152221,8.726931,8.662095,8.811113,8.614630,8.640307,8.775407,8.726931,7.123730,8.543002,7.661504
4,8.279820,7.564422,8.478513,0.000000,8.329622,8.501132,8.411819,8.260657,8.604512,8.091987,4.090717,8.329622,7.929290,8.390599,7.930378,8.277320,8.154181,8.221332,8.390599,8.390599,5.553509,7.652509,7.737408
5,8.868096,8.798676,4.551012,9.290285,0.000000,8.868096,8.868096,8.846921,8.807384,8.275317,9.290285,9.290285,8.236252,8.610278,8.738588,8.408356,8.117919,8.378329,8.610278,8.610278,7.364499,8.034572,7.954891
6,9.290285,8.782913,9.290285,8.910935,11.301548,0.000000,9.290285,8.754496,9.290285,8.565338,9.290285,8.571497,8.103625,8.825611,8.670740,8.803440,8.575572,8.624546,8.825611,8.825611,7.740203,8.560839,8.619594
7,9.290285,9.141404,9.290285,8.910935,10.186491,9.290285,0.000000,8.754496,8.872118,8.403557,9.290285,8.571497,8.103625,8.816284,8.658783,8.792249,8.562738,8.460402,8.693424,8.816284,8.378949,8.420975,8.484773
8,9.067877,8.705030,8.968749,8.697727,10.203792,9.067877,9.067877,0.000000,9.275350,8.623038,6.784633,7.610322,7.778052,8.726931,8.662095,8.811113,8.614630,8.640307,8.775407,8.726931,2.590168,8.543002,8.567006
9,9.067877,8.991549,8.880298,8.929167,10.756421,9.067877,9.210140,9.290285,0.000000,8.623038,9.290285,9.290285,7.041330,8.595387,8.662095,8.811113,8.614630,8.640307,8.775407,8.595387,8.454729,8.543002,8.567006
10,8.622727,8.329701,8.356716,8.293731,9.634581,8.622727,8.711513,8.310813,8.310813,0.000000,8.711513,8.547974,6.908050,8.580723,8.419693,8.515924,8.248575,8.323831,8.460683,8.580723,8.197760,8.273125,8.281570
11,9.016477,8.940890,8.770216,8.910935,11.679623,9.081442,9.191610,9.215859,9.290285,8.552639,0.000000,9.290285,7.788983,8.588265,8.738588,8.811113,8.117919,8.388084,8.713267,8.588265,8.461787,8.713267,8.502740
12,8.868096,8.504479,8.885847,11.835880,11.835880,8.868096,8.868096,8.846921,9.290285,8.608473,9.290285,0.000000,7.788983,8.588265,8.738588,7.753659,8.117919,8.388084,8.713267,8.588265,8.461787,8.713267,8.502740
13,8.547760,8.485925,8.281521,9.290285,10.750781,8.547760,8.547760,8.486019,8.286768,7.599862,8.477515,8.477515,0.000000,8.741487,9.290285,7.783795,5.921317,8.554688,8.741487,8.741487,8.404856,8.741487,8.452981
14,8.841860,8.771059,8.661206,8.606668,10.045684,8.840857,8.807490,8.902546,8.902546,8.053465,8.808859,8.617607,8.686239,0.000000,8.358057,8.822783,9.290285,8.999430,9.290285,9.290285,8.764764,9.290285,8.859670
15,8.295820,8.223574,8.117757,9.535658,9.535658,8.483566,8.844956,8.474838,8.831513,7.770771,6.454468,8.741115,6.966557,8.419092,0.000000,7.922106,8.121912,8.675698,8.837191,8.419092,8.457609,8.837191,8.542690
16,8.676873,8.601132,8.535936,8.378468,9.707500,8.675793,8.664909,8.757358,8.757358,7.871194,7.841052,7.841052,6.858460,8.314142,8.111397,0.000000,8.167898,8.381453,8.381453,8.381453,7.713253,8.239212,7.819969
17,8.645689,8.137269,8.505578,8.349644,8.205912,8.645689,8.362717,8.715476,8.715476,8.362717,7.797724,7.797572,6.683184,8.082634,8.082634,8.352709,0.000000,8.681734,8.681734,8.681734,8.063367,8.589873,8.297038
18,8.441288,8.441288,8.216705,8.606668,8.945911,8.441288,8.322762,8.464881,8.464881,8.322762,8.802399,8.601141,8.698592,9.290285,8.358057,8.375726,9.290285,0.000000,9.290285,9.290285,8.806419,4.631376,8.859670
19,8.763778,8.695294,8.580677,2.427752,9.951179,8.763236,8.423349,8.823916,8.823916,8.009727,8.744138,8.562968,8.584667,9.039836,8.326793,8.238751,9.039836,9.039836,0.000000,9.039836,8.767105,9.290285,9.037687
20,8.733982,8.663689,8.553604,8.409337,9.877790,8.732659,8.691122,8.793965,8.793965,7.982155,8.639455,8.497038,8.534379,8.999430,8.228810,7.744623,8.999430,8.999430,9.290285,0.000000,8.764764,9.290285,8.859670
21,7.755622,4.880357,6.718698,8.060439,6.914195,8.059923,8.265758,7.831642,8.499614,8.400345,8.405725,1.232484,8.374469,8.726023,8.116803,7.862536,8.726023,8.726023,8.727697,8.726023,0.000000,8.727697,9.290285
22,8.483482,7.979962,7.091941,7.609822,7.193573,8.483482,8.318591,8.526779,8.526779,8.318591,8.550503,8.548687,8.472328,9.039836,8.326793,7.779767,9.039836,9.290285,9.290285,9.039836,6.887328,0.000000,8.293241
23,7.489598,4.759059,7.146942,7.751327,7.259708,8.332819,8.230615,8.357868,8.357868,8.230615,8.485466,8.290231,8.307405,8.775078,8.057096,8.029148,8.775078,8.775078,9.290285,8.775078,9.290285,8.766959,0.000000
